hour,day_of_week,day_of_year,temperature_c,demand
0,0,1,15.0,23126.0
1,0,1,14.8,23165.0
2,0,1,12.9,24138.0
3,0,1,11.6,25999.0
4,0,1,11.3,25812.0
5,0,1,11.5,25007.0
6,0,1,10.2,24317.0
7,0,1,9.8,23918.0
8,0,1,9.4,23066.0
9,0,1,9.4,22365.0
10,0,1,9.3,21604.0
11,0,1,10.2,21007.0
12,0,1,9.4,20402.0
13,0,1,8.8,20119.0
14,0,1,8.5,19740.0
15,0,1,8.0,20059.0
16,0,1,8.6,20697.0
17,0,1,11.7,21060.0
18,0,1,13.7,20827.0
19,0,1,15.2,20608.0
20,0,1,16.3,20707.0
21,0,1,16.8,20191.0
22,0,1,17.1,19778.0
23,0,1,17.3,19756.0
0,1,2,16.5,19820.0
1,1,2,14.0,20302.0
2,1,2,12.6,22243.0
3,1,2,11.7,24523.0
4,1,2,10.3,24851.0
5,1,2,8.8,24529.0
6,1,2,7.5,24327.0
7,1,2,7.3,24078.0
8,1,2,6.9,22808.0
9,1,2,6.6,21576.0
10,1,2,7.5,20779.0
11,1,2,7.5,20227.0
12,1,2,9.1,19834.0
13,1,2,12.2,19611.0
14,1,2,7.9,20025.0
15,1,2,8.0,21422.0
16,1,2,10.1,23274.0
17,1,2,12.6,24578.0
18,1,2,14.8,25319.0
19,1,2,15.8,25332.0
20,1,2,16.6,24774.0
21,1,2,17.0,24306.0
22,1,2,17.2,23267.0
23,1,2,17.2,23088.0
0,2,3,16.8,23720.0
1,2,3,14.3,24304.0
2,2,3,13.1,25631.0
3,2,3,12.4,27425.0
4,2,3,12.9,27329.0
5,2,3,12.7,26871.0
6,2,3,12.5,26561.0
7,2,3,9.7,25692.0
8,2,3,8.5,24252.0
9,2,3,8.8,22981.0
10,2,3,8.8,22117.0
11,2,3,9.0,21614.0
12,2,3,10.0,21392.0
13,2,3,10.2,21195.0
14,2,3,10.3,20947.0
15,2,3,10.1,21893.0
16,2,3,10.6,23583.0
17,2,3,11.8,24968.0
18,2,3,13.0,25498.0
19,2,3,14.6,25244.0
20,2,3,15.7,24591.0
21,2,3,15.7,23535.0
22,2,3,16.1,23240.0
23,2,3,16.0,22838.0
0,3,4,15.0,23562.0
1,3,4,13.1,24280.0
2,3,4,12.1,25786.0
3,3,4,11.5,27524.0
4,3,4,10.8,27613.0
5,3,4,10.8,27137.0
6,3,4,10.7,26620.0
7,3,4,10.0,25908.0
8,3,4,8.7,24599.0
9,3,4,8.3,23340.0
10,3,4,7.9,22150.0
11,3,4,7.9,21707.0
12,3,4,7.2,21499.0
13,3,4,7.5,21182.0
14,3,4,6.5,21178.0
15,3,4,5.7,22424.0
16,3,4,7.2,24394.0
17,3,4,9.9,25560.0
18,3,4,11.5,25655.0
19,3,4,12.3,24749.0
20,3,4,13.2,23839.0
21,3,4,14.4,23412.0
22,3,4,15.2,23655.0
23,3,4,15.0,23570.0
0,4,5,14.2,23519.0
1,4,5,12.1,23229.0
2,4,5,13.6,24896.0
3,4,5,9.2,27069.0
4,4,5,8.2,27288.0
5,4,5,7.6,27142.0
6,4,5,6.8,26536.0
7,4,5,6.3,25702.0
8,4,5,5.8,24875.0
9,4,5,6.1,23809.0
10,4,5,6.7,22782.0
11,4,5,6.3,21926.0
12,4,5,6.5,21340.0
13,4,5,11.1,21250.0
14,4,5,8.7,21522.0
15,4,5,8.3,22574.0
16,4,5,9.7,24315.0
17,4,5,11.6,25508.0
18,4,5,12.4,25581.0
19,4,5,14.1,24296.0
20,4,5,14.9,23747.0
21,4,5,15.4,22297.0
22,4,5,15.6,22171.0
23,4,5,16.0,22841.0
0,5,6,15.2,23741.0
1,5,6,14.0,23666.0
2,5,6,11.8,24623.0
3,5,6,9.1,26595.0
4,5,6,7.6,26752.0
5,5,6,6.8,26363.0
6,5,6,6.0,26007.0
7,5,6,5.5,25615.0
8,5,6,5.0,24460.0
9,5,6,4.4,23211.0
10,5,6,4.0,22631.0
11,5,6,3.6,21797.0
12,5,6,3.8,21259.0
13,5,6,4.7,21015.0
14,5,6,7.8,21125.0
15,5,6,7.3,21691.0
16,5,6,8.1,22692.0
17,5,6,11.5,23106.0
18,5,6,13.9,22751.0
19,5,6,15.5,22499.0
20,5,6,16.5,22773.0
21,5,6,16.7,22832.0
22,5,6,16.8,22822.0
23,5,6,16.7,23221.0
0,6,7,15.4,22580.0
1,6,7,13.5,22891.0
2,6,7,12.0,23957.0
3,6,7,12.7,25939.0
4,6,7,11.7,26008.0
5,6,7,10.8,25784.0
6,6,7,9.0,25197.0
7,6,7,8.4,24632.0
8,6,7,8.4,23705.0
9,6,7,9.5,22824.0
10,6,7,9.4,22183.0
11,6,7,10.0,21494.0
12,6,7,9.5,21113.0
13,6,7,9.4,20635.0
14,6,7,8.6,20563.0
15,6,7,8.6,20776.0
16,6,7,8.6,21597.0
17,6,7,9.7,22186.0
18,6,7,11.0,21518.0
19,6,7,12.1,20532.0
20,6,7,13.0,20204.0
21,6,7,13.3,20479.0
22,6,7,13.1,20558.0
23,6,7,12.4,21072.0
0,0,8,10.7,21096.0
1,0,8,10.0,21000.0
2,0,8,9.1,23142.0
3,0,8,8.3,26032.0
4,0,8,7.4,26570.0
5,0,8,7.1,26611.0
6,0,8,7.3,26336.0
7,0,8,7.1,25652.0
8,0,8,6.5,24385.0
9,0,8,5.5,23262.0
10,0,8,3.9,22903.0
11,0,8,3.1,22259.0
12,0,8,2.6,22426.0
13,0,8,3.5,22475.0
14,0,8,3.0,22605.0
15,0,8,2.2,24095.0
16,0,8,4.3,26713.0
17,0,8,8.0,27988.0
18,0,8,9.9,27600.0
19,0,8,11.5,26740.0
20,0,8,12.9,24807.0
21,0,8,13.9,24499.0
22,0,8,14.5,23640.0
23,0,8,14.3,23745.0
0,1,9,13.0,24514.0
1,1,9,10.7,24195.0
2,1,9,9.3,25769.0
3,1,9,9.0,28345.0
4,1,9,7.7,28795.0
5,1,9,6.6,28393.0
6,1,9,5.3,27873.0
7,1,9,4.3,26939.0
8,1,9,4.0,25477.0
9,1,9,4.7,23860.0
10,1,9,6.2,23659.0
11,1,9,6.2,23472.0
12,1,9,5.7,22895.0
13,1,9,7.1,22874.0
14,1,9,6.2,22716.0
15,1,9,4.6,23876.0
16,1,9,6.8,25274.0
17,1,9,9.7,27506.0
18,1,9,11.9,27720.0
19,1,9,13.1,27254.0
20,1,9,13.7,26279.0
21,1,9,14.5,25455.0
22,1,9,15.0,24337.0
23,1,9,15.2,23412.0
0,2,10,13.8,23545.0
1,2,10,12.3,23507.0
2,2,10,12.2,25339.0
3,2,10,11.8,27559.0
4,2,10,8.2,28040.0
5,2,10,7.5,27769.0
6,2,10,6.5,27493.0
7,2,10,6.1,26517.0
8,2,10,5.9,24986.0
9,2,10,6.0,23515.0
10,2,10,6.0,22907.0
11,2,10,6.1,22994.0
12,2,10,5.8,22309.0
13,2,10,6.3,21997.0
14,2,10,5.8,22195.0
15,2,10,5.4,23232.0
16,2,10,6.6,25601.0
17,2,10,9.0,27146.0
18,2,10,10.7,27313.0
19,2,10,12.3,26526.0
20,2,10,13.9,26025.0
21,2,10,15.4,25710.0
22,2,10,15.0,25480.0
23,2,10,13.7,25209.0
0,3,11,13.0,25170.0
1,3,11,12.2,25140.0
2,3,11,10.1,26360.0
3,3,11,9.1,28408.0
4,3,11,8.4,28592.0
5,3,11,7.9,27968.0
6,3,11,7.3,27359.0
7,3,11,6.5,26734.0
8,3,11,6.6,25166.0
9,3,11,6.0,23721.0
10,3,11,6.2,22918.0
11,3,11,6.9,22923.0
12,3,11,8.5,22802.0
13,3,11,9.4,22081.0
14,3,11,10.2,22287.0
15,3,11,9.5,22977.0
16,3,11,9.4,25314.0
17,3,11,11.5,26814.0
18,3,11,13.4,26513.0
19,3,11,13.3,24963.0
20,3,11,14.2,23373.0
21,3,11,15.3,22544.0
22,3,11,16.0,22399.0
23,3,11,16.2,23008.0
0,4,12,15.3,23059.0
1,4,12,11.9,23294.0
2,4,12,10.2,25231.0
3,4,12,9.7,27711.0
4,4,12,8.2,28068.0
5,4,12,6.4,27825.0
6,4,12,5.4,27351.0
7,4,12,4.7,26856.0
8,4,12,5.1,25446.0
9,4,12,7.4,23965.0
10,4,12,6.3,23850.0
11,4,12,6.2,23418.0
12,4,12,6.0,22694.0
13,4,12,5.4,22608.0
14,4,12,4.7,22992.0
15,4,12,3.9,24165.0
16,4,12,6.3,26404.0
17,4,12,10.2,27703.0
18,4,12,12.7,27276.0
19,4,12,14.1,25988.0
20,4,12,14.8,25259.0
21,4,12,15.3,24489.0
22,4,12,15.8,24946.0
23,4,12,15.8,24676.0
0,5,13,15.5,24534.0
1,5,13,12.0,24750.0
2,5,13,10.0,25734.0
3,5,13,9.2,27538.0
4,5,13,11.6,27584.0
5,5,13,11.4,27225.0
6,5,13,11.0,26849.0
7,5,13,10.6,26293.0
8,5,13,10.1,25225.0
9,5,13,6.3,23885.0
10,5,13,6.2,22787.0
11,5,13,6.3,22008.0
12,5,13,6.2,21658.0
13,5,13,6.3,21337.0
14,5,13,6.5,21620.0
15,5,13,6.3,21863.0
16,5,13,8.0,22800.0
17,5,13,10.6,23409.0
18,5,13,12.5,24473.0
19,5,13,13.5,24020.0
20,5,13,14.4,24199.0
21,5,13,15.2,23842.0
22,5,13,16.1,23096.0
23,5,13,16.1,22463.0
0,6,14,14.7,22568.0
1,6,14,12.6,22665.0
2,6,14,11.9,23632.0
3,6,14,12.0,25794.0
4,6,14,9.4,26298.0
5,6,14,9.0,26013.0
6,6,14,8.4,25436.0
7,6,14,7.3,24982.0
8,6,14,6.8,23847.0
9,6,14,6.5,23192.0
10,6,14,6.4,22174.0
11,6,14,6.5,21339.0
12,6,14,6.5,21001.0
13,6,14,6.4,20325.0
14,6,14,6.7,20097.0
15,6,14,7.5,20410.0
16,6,14,8.7,21087.0
17,6,14,10.2,21747.0
18,6,14,11.6,22412.0
19,6,14,12.5,22745.0
20,6,14,13.4,22500.0
21,6,14,14.7,21564.0
22,6,14,15.7,20611.0
23,6,14,15.2,19998.0
0,0,15,13.7,19754.0
1,0,15,12.7,19919.0
2,0,15,11.1,22055.0
3,0,15,10.6,24381.0
4,0,15,9.8,24682.0
5,0,15,8.9,24583.0
6,0,15,8.7,24146.0
7,0,15,8.4,23691.0
8,0,15,7.8,22585.0
9,0,15,7.2,21614.0
10,0,15,7.8,20997.0
11,0,15,8.3,20327.0
12,0,15,9.9,20313.0
13,0,15,11.2,20345.0
14,0,15,9.3,20261.0
15,0,15,9.2,21451.0
16,0,15,9.7,23196.0
17,0,15,11.9,24254.0
18,0,15,13.4,25195.0
19,0,15,14.8,24879.0
20,0,15,16.1,23249.0
21,0,15,17.1,22744.0
22,0,15,17.9,22771.0
23,0,15,18.1,23119.0
0,1,16,16.5,23891.0
1,1,16,14.2,24425.0
2,1,16,12.2,24625.0
3,1,16,12.5,26800.0
4,1,16,12.2,27007.0
5,1,16,10.5,26581.0
6,1,16,9.6,26104.0
7,1,16,9.1,25248.0
8,1,16,9.3,23740.0
9,1,16,10.4,22853.0
10,1,16,9.8,21703.0
11,1,16,12.2,21557.0
12,1,16,11.2,20845.0
13,1,16,12.9,20695.0
14,1,16,11.9,21290.0
15,1,16,11.2,22629.0
16,1,16,10.5,24876.0
17,1,16,12.5,26530.0
18,1,16,15.1,26777.0
19,1,16,17.0,26253.0
20,1,16,18.5,25243.0
21,1,16,19.7,24895.0
22,1,16,19.4,24957.0
23,1,16,18.4,24926.0
0,2,17,15.7,25237.0
1,2,17,13.6,24999.0
2,2,17,12.3,25519.0
3,2,17,12.2,27388.0
4,2,17,10.7,27415.0
5,2,17,10.3,26938.0
6,2,17,9.8,26562.0
7,2,17,9.9,25580.0
8,2,17,10.0,23894.0
9,2,17,10.2,22880.0
10,2,17,10.0,22443.0
11,2,17,10.1,21856.0
12,2,17,10.3,21500.0
13,2,17,10.4,21175.0
14,2,17,10.4,21054.0
15,2,17,10.5,21797.0
16,2,17,11.1,24075.0
17,2,17,11.9,25821.0
18,2,17,13.2,26205.0
19,2,17,14.1,26041.0
20,2,17,15.3,25265.0
21,2,17,16.7,24924.0
22,2,17,17.6,24361.0
23,2,17,18.0,24596.0
0,3,18,17.3,24072.0
1,3,18,15.1,24045.0
2,3,18,13.6,24514.0
3,3,18,11.9,26742.0
4,3,18,12.4,27056.0
5,3,18,10.6,26768.0
6,3,18,10.4,25925.0
7,3,18,10.0,25115.0
8,3,18,9.9,23946.0
9,3,18,9.7,22829.0
10,3,18,9.4,22089.0
11,3,18,9.4,21852.0
12,3,18,10.3,21396.0
13,3,18,11.3,21146.0
14,3,18,10.7,21178.0
15,3,18,10.5,22591.0
16,3,18,11.9,24655.0
17,3,18,13.7,26287.0
18,3,18,15.4,26380.0
19,3,18,16.7,25694.0
20,3,18,17.5,24839.0
21,3,18,18.3,24535.0
22,3,18,18.7,24061.0
23,3,18,18.7,24078.0
0,4,19,17.7,23904.0
1,4,19,15.0,23678.0
2,4,19,13.8,24584.0
3,4,19,13.1,26920.0
4,4,19,14.4,26919.0
5,4,19,14.0,26443.0
6,4,19,14.0,25823.0
7,4,19,14.0,25176.0
8,4,19,11.5,23809.0
9,4,19,12.4,22524.0
10,4,19,12.2,22208.0
11,4,19,11.5,21535.0
12,4,19,9.7,21409.0
13,4,19,11.0,21207.0
14,4,19,11.9,21304.0
15,4,19,11.6,22434.0
16,4,19,11.5,24247.0
17,4,19,12.6,25746.0
18,4,19,13.8,25664.0
19,4,19,15.5,25600.0
20,4,19,16.4,25207.0
21,4,19,17.1,25395.0
22,4,19,17.7,25128.0
23,4,19,18.4,24840.0
0,5,20,18.2,24390.0
1,5,20,16.8,24970.0
2,5,20,14.5,25396.0
3,5,20,14.2,26717.0
4,5,20,14.5,26682.0
5,5,20,13.9,26047.0
6,5,20,13.5,25332.0
7,5,20,13.8,24645.0
8,5,20,13.5,23475.0
9,5,20,13.2,22294.0
10,5,20,12.9,21769.0
11,5,20,12.8,21150.0
12,5,20,12.8,20847.0
13,5,20,12.7,20262.0
14,5,20,12.9,20258.0
15,5,20,12.9,20542.0
