date_hour,hour,day_of_week,day_of_year,is_holiday,demand
2024-01-01T00:00,0,0,1,1,23126.0
2024-01-01T01:00,1,0,1,1,23165.0
2024-01-01T02:00,2,0,1,1,24138.0
2024-01-01T03:00,3,0,1,1,25999.0
2024-01-01T04:00,4,0,1,1,25812.0
2024-01-01T05:00,5,0,1,1,25007.0
2024-01-01T06:00,6,0,1,1,24317.0
2024-01-01T07:00,7,0,1,1,23918.0
2024-01-01T08:00,8,0,1,1,23066.0
2024-01-01T09:00,9,0,1,1,22365.0
2024-01-01T10:00,10,0,1,1,21604.0
2024-01-01T11:00,11,0,1,1,21007.0
2024-01-01T12:00,12,0,1,1,20402.0
2024-01-01T13:00,13,0,1,1,20119.0
2024-01-01T14:00,14,0,1,1,19740.0
2024-01-01T15:00,15,0,1,1,20059.0
2024-01-01T16:00,16,0,1,1,20697.0
2024-01-01T17:00,17,0,1,1,21060.0
2024-01-01T18:00,18,0,1,1,20827.0
2024-01-01T19:00,19,0,1,1,20608.0
2024-01-01T20:00,20,0,1,1,20707.0
2024-01-01T21:00,21,0,1,1,20191.0
2024-01-01T22:00,22,0,1,1,19778.0
2024-01-01T23:00,23,0,1,1,19756.0
2024-01-02T00:00,0,1,2,0,19820.0
2024-01-02T01:00,1,1,2,0,20302.0
2024-01-02T02:00,2,1,2,0,22243.0
2024-01-02T03:00,3,1,2,0,24523.0
2024-01-02T04:00,4,1,2,0,24851.0
2024-01-02T05:00,5,1,2,0,24529.0
2024-01-02T06:00,6,1,2,0,24327.0
2024-01-02T07:00,7,1,2,0,24078.0
2024-01-02T08:00,8,1,2,0,22808.0
2024-01-02T09:00,9,1,2,0,21576.0
2024-01-02T10:00,10,1,2,0,20779.0
2024-01-02T11:00,11,1,2,0,20227.0
2024-01-02T12:00,12,1,2,0,19834.0
2024-01-02T13:00,13,1,2,0,19611.0
2024-01-02T14:00,14,1,2,0,20025.0
2024-01-02T15:00,15,1,2,0,21422.0
2024-01-02T16:00,16,1,2,0,23274.0
2024-01-02T17:00,17,1,2,0,24578.0
2024-01-02T18:00,18,1,2,0,25319.0
2024-01-02T19:00,19,1,2,0,25332.0
2024-01-02T20:00,20,1,2,0,24774.0
2024-01-02T21:00,21,1,2,0,24306.0
2024-01-02T22:00,22,1,2,0,23267.0
2024-01-02T23:00,23,1,2,0,23088.0
2024-01-03T00:00,0,2,3,0,23720.0
2024-01-03T01:00,1,2,3,0,24304.0
2024-01-03T02:00,2,2,3,0,25631.0
2024-01-03T03:00,3,2,3,0,27425.0
2024-01-03T04:00,4,2,3,0,27329.0
2024-01-03T05:00,5,2,3,0,26871.0
2024-01-03T06:00,6,2,3,0,26561.0
2024-01-03T07:00,7,2,3,0,25692.0
2024-01-03T08:00,8,2,3,0,24252.0
2024-01-03T09:00,9,2,3,0,22981.0
2024-01-03T10:00,10,2,3,0,22117.0
2024-01-03T11:00,11,2,3,0,21614.0
2024-01-03T12:00,12,2,3,0,21392.0
2024-01-03T13:00,13,2,3,0,21195.0
2024-01-03T14:00,14,2,3,0,20947.0
2024-01-03T15:00,15,2,3,0,21893.0
2024-01-03T16:00,16,2,3,0,23583.0
2024-01-03T17:00,17,2,3,0,24968.0
2024-01-03T18:00,18,2,3,0,25498.0
2024-01-03T19:00,19,2,3,0,25244.0
2024-01-03T20:00,20,2,3,0,24591.0
2024-01-03T21:00,21,2,3,0,23535.0
2024-01-03T22:00,22,2,3,0,23240.0
2024-01-03T23:00,23,2,3,0,22838.0
2024-01-04T00:00,0,3,4,0,23562.0
2024-01-04T01:00,1,3,4,0,24280.0
2024-01-04T02:00,2,3,4,0,25786.0
2024-01-04T03:00,3,3,4,0,27524.0
2024-01-04T04:00,4,3,4,0,27613.0
2024-01-04T05:00,5,3,4,0,27137.0
2024-01-04T06:00,6,3,4,0,26620.0
2024-01-04T07:00,7,3,4,0,25908.0
2024-01-04T08:00,8,3,4,0,24599.0
2024-01-04T09:00,9,3,4,0,23340.0
2024-01-04T10:00,10,3,4,0,22150.0
2024-01-04T11:00,11,3,4,0,21707.0
2024-01-04T12:00,12,3,4,0,21499.0
2024-01-04T13:00,13,3,4,0,21182.0
2024-01-04T14:00,14,3,4,0,21178.0
2024-01-04T15:00,15,3,4,0,22424.0
2024-01-04T16:00,16,3,4,0,24394.0
2024-01-04T17:00,17,3,4,0,25560.0
2024-01-04T18:00,18,3,4,0,25655.0
2024-01-04T19:00,19,3,4,0,24749.0
2024-01-04T20:00,20,3,4,0,23839.0
2024-01-04T21:00,21,3,4,0,23412.0
2024-01-04T22:00,22,3,4,0,23655.0
2024-01-04T23:00,23,3,4,0,23570.0
2024-01-05T00:00,0,4,5,0,23519.0
2024-01-05T01:00,1,4,5,0,23229.0
2024-01-05T02:00,2,4,5,0,24896.0
2024-01-05T03:00,3,4,5,0,27069.0
2024-01-05T04:00,4,4,5,0,27288.0
2024-01-05T05:00,5,4,5,0,27142.0
2024-01-05T06:00,6,4,5,0,26536.0
2024-01-05T07:00,7,4,5,0,25702.0
2024-01-05T08:00,8,4,5,0,24875.0
2024-01-05T09:00,9,4,5,0,23809.0
2024-01-05T10:00,10,4,5,0,22782.0
2024-01-05T11:00,11,4,5,0,21926.0
2024-01-05T12:00,12,4,5,0,21340.0
2024-01-05T13:00,13,4,5,0,21250.0
